"spec_ID","site_code","month","spec.obs"
"Bombus fervidus","CHA","July",1
"Bombus fervidus","COO","August",1
"Bombus fervidus","EDI","June",1
"Bombus fervidus","EIB","June",1
"Bombus fervidus","GRE","August",1
"Bombus fervidus","GW","June",1
"Bombus fervidus","JEF","July",1
"Bombus fervidus","PAL","July",1
"Bombus fervidus","PAR","July",1
"Bombus fervidus","RUB","August",1
"Bombus fervidus","SAB","July",1
"Bombus fervidus","SAM","July",1
"Bombus fervidus","SAM","June",2
"Bombus fervidus","SHO","June",1
"Bombus fervidus","SLA","June",2
"Bombus fervidus","STE","July",1
"Bombus fervidus","WES","August",2
"Bombus fervidus","WES","July",2
"Bombus fervidus","WES","June",1
"Bombus huntii","APP","August",1
"Bombus huntii","CHA","August",1
"Bombus huntii","CHA","July",2
"Bombus huntii","EIB","July",1
"Bombus huntii","GRE","July",1
"Bombus huntii","PAL","July",1
"Bombus huntii","PAR","July",1
"Bombus huntii","RUB","July",2
"Bombus huntii","SAB","July",1
"Bombus huntii","STE","July",1
"Bombus nevadensis","RUB","August",1
"Bombus pensylvanicus","JEF","July",1
"Ceratina spp.","RUB","August",1
"Diadasia australis","CHA","July",1
"Diadasia australis","EDI","June",1
"Diadasia australis","PAL","June",1
"Diadasia australis","SLA","July",1
"Diadasia enavata","COO","August",1
"Diadasia enavata","GABL","June",1
"Diadasia enavata","SAM","June",1
"Diadasia rinconis","GRE","July",1
"Diadasia rinconis","SLA","July",1
"Eucera pruinosa","APP","August",25
"Eucera pruinosa","APP","July",24
"Eucera pruinosa","CHA","August",17
"Eucera pruinosa","CHA","July",12
"Eucera pruinosa","COO","August",15
"Eucera pruinosa","COO","July",15
"Eucera pruinosa","EDI","July",17
"Eucera pruinosa","EIB","August",5
"Eucera pruinosa","GABL","August",6
"Eucera pruinosa","GABL","July",20
"Eucera pruinosa","GABR","August",1
"Eucera pruinosa","GABR","July",6
"Eucera pruinosa","GRE","August",10
"Eucera pruinosa","GRE","July",8
"Eucera pruinosa","GW","July",3
"Eucera pruinosa","JEF","August",11
"Eucera pruinosa","KCA","August",2
"Eucera pruinosa","KCA","July",4
"Eucera pruinosa","KCA","June",1
"Eucera pruinosa","PAL","August",42
"Eucera pruinosa","PAL","July",23
"Eucera pruinosa","PAR","August",9
"Eucera pruinosa","PAR","July",13
"Eucera pruinosa","RUB","August",39
"Eucera pruinosa","RUB","July",13
"Eucera pruinosa","SAB","August",10
"Eucera pruinosa","SAB","July",25
"Eucera pruinosa","SAM","August",14
"Eucera pruinosa","SAM","June",3
"Eucera pruinosa","SHO","August",2
"Eucera pruinosa","SHO","July",16
"Eucera pruinosa","SLA","August",4
"Eucera pruinosa","SLA","July",5
"Eucera pruinosa","STE","August",10
"Eucera pruinosa","STE","July",21
"Eucera pruinosa","WES","August",7
"Eucera pruinosa","WES","July",2
"Halictus ligatus","GABL","August",1
"Halictus ligatus","GABR","July",1
"Halictus ligatus","JEF","July",1
"Halictus ligatus","PAR","August",1
"Halictus ligatus","RUB","July",2
"Halictus ligatus","SAM","June",1
"Halictus ligatus","SLA","July",1
"Halictus ligatus","WES","June",1
"Halictus rubicundus","APP","July",2
"Halictus rubicundus","CHA","July",10
"Halictus rubicundus","CHA","June",1
"Halictus rubicundus","COO","August",1
"Halictus rubicundus","COO","July",1
"Halictus rubicundus","EDI","July",2
"Halictus rubicundus","EDI","June",3
"Halictus rubicundus","EIB","July",1
"Halictus rubicundus","EIB","June",2
"Halictus rubicundus","GABL","July",8
"Halictus rubicundus","GABL","June",4
"Halictus rubicundus","GABR","July",2
"Halictus rubicundus","GABR","June",1
"Halictus rubicundus","GRE","July",3
"Halictus rubicundus","JEF","July",4
"Halictus rubicundus","KCA","July",2
"Halictus rubicundus","MAR","July",1
"Halictus rubicundus","PAL","July",33
"Halictus rubicundus","RUB","August",1
"Halictus rubicundus","RUB","July",2
"Halictus rubicundus","RUB","June",1
"Halictus rubicundus","SAB","July",2
"Halictus rubicundus","SAM","August",1
"Halictus rubicundus","SAM","July",1
"Halictus rubicundus","SAM","June",5
"Halictus rubicundus","SHO","July",1
"Halictus rubicundus","SHO","June",1
"Halictus rubicundus","SLA","July",3
"Halictus rubicundus","SLA","June",2
"Halictus rubicundus","STE","July",1
"Halictus rubicundus","WES","July",2
"Halictus tripartitus","APP","August",7
"Halictus tripartitus","EIB","June",1
"Halictus tripartitus","GABL","July",3
"Halictus tripartitus","GABL","June",1
"Halictus tripartitus","GABR","July",2
"Halictus tripartitus","PAL","August",1
"Halictus tripartitus","PAL","July",6
"Halictus tripartitus","PAL","June",2
"Halictus tripartitus","PAR","July",1
"Halictus tripartitus","RUB","August",3
"Halictus tripartitus","RUB","July",22
"Halictus tripartitus","SAM","August",1
"Halictus tripartitus","SAM","June",1
"Halictus tripartitus","WES","July",1
"Lasioglossum Dialictus sp1","PAL","July",2
"Lasioglossum Dialictus sp1","RUB","July",1
"Lasioglossum Dialictus spp.","CHA","July",6
"Lasioglossum Dialictus spp.","COO","August",1
"Lasioglossum Dialictus spp.","COO","July",1
"Lasioglossum Dialictus spp.","EDI","July",3
"Lasioglossum Dialictus spp.","EIB","August",1
"Lasioglossum Dialictus spp.","EIB","July",1
"Lasioglossum Dialictus spp.","GABL","July",2
"Lasioglossum Dialictus spp.","GABR","July",1
"Lasioglossum Dialictus spp.","GRE","August",1
"Lasioglossum Dialictus spp.","GW","July",1
"Lasioglossum Dialictus spp.","JEF","August",2
"Lasioglossum Dialictus spp.","JEF","July",1
"Lasioglossum Dialictus spp.","KCA","August",1
"Lasioglossum Dialictus spp.","MAR","June",1
"Lasioglossum Dialictus spp.","PAL","August",3
"Lasioglossum Dialictus spp.","PAL","July",8
"Lasioglossum Dialictus spp.","PAL","June",1
"Lasioglossum Dialictus spp.","PAR","August",2
"Lasioglossum Dialictus spp.","RUB","August",2
"Lasioglossum Dialictus spp.","RUB","July",9
"Lasioglossum Dialictus spp.","SAB","July",1
"Lasioglossum Dialictus spp.","SAM","August",1
"Lasioglossum Dialictus spp.","SAM","July",3
"Lasioglossum Dialictus spp.","SAM","June",1
"Lasioglossum Dialictus spp.","SHO","July",1
"Lasioglossum Dialictus spp.","SLA","August",1
"Lasioglossum Dialictus spp.","SLA","July",3
"Lasioglossum Dialictus spp.","STE","July",3
"Lasioglossum Dialictus spp.","WES","August",3
"Lasioglossum Evylaeus spp.","EDI","June",3
"Lasioglossum Evylaeus spp.","GABL","June",1
"Lasioglossum Evylaeus spp.","GRE","June",2
"Lasioglossum Evylaeus spp.","GW","July",1
"Lasioglossum Evylaeus spp.","JEF","June",1
"Lasioglossum Evylaeus spp.","PAL","June",3
"Lasioglossum Evylaeus spp.","PAR","June",1
"Lasioglossum Evylaeus spp.","SLA","July",1
"Lasioglossum Sensu Stricto spp.","CHA","August",1
"Lasioglossum Sensu Stricto spp.","PAL","July",1
"Lasioglossum Sensu Stricto spp.","WES","July",1
"Megachile centuncularis","COO","August",1
"Megachile inermis","KCA","June",2
"Megachile sp1","STE","June",1
"Melissodes agilis","APP","August",13
"Melissodes agilis","APP","July",13
"Melissodes agilis","CHA","August",60
"Melissodes agilis","CHA","July",52
"Melissodes agilis","COO","August",32
"Melissodes agilis","COO","July",18
"Melissodes agilis","EDI","July",48
"Melissodes agilis","EDI","June",6
"Melissodes agilis","EIB","August",15
"Melissodes agilis","EIB","July",4
"Melissodes agilis","GABL","August",5
"Melissodes agilis","GABL","July",12
"Melissodes agilis","GABR","August",7
"Melissodes agilis","GABR","July",3
"Melissodes agilis","GRE","August",9
"Melissodes agilis","GRE","July",13
"Melissodes agilis","GW","August",3
"Melissodes agilis","GW","July",5
"Melissodes agilis","JEF","August",4
"Melissodes agilis","JEF","July",12
"Melissodes agilis","KCA","August",7
"Melissodes agilis","KCA","July",1
"Melissodes agilis","PAL","August",26
"Melissodes agilis","PAL","July",30
"Melissodes agilis","PAR","August",33
"Melissodes agilis","PAR","July",28
"Melissodes agilis","PAR","June",1
"Melissodes agilis","RUB","August",18
"Melissodes agilis","RUB","July",17
"Melissodes agilis","SAB","August",2
"Melissodes agilis","SAB","July",5
"Melissodes agilis","SAM","August",22
"Melissodes agilis","SAM","July",4
"Melissodes agilis","SHO","August",12
"Melissodes agilis","SHO","July",10
"Melissodes agilis","SLA","August",4
"Melissodes agilis","SLA","July",12
"Melissodes agilis","STE","August",6
"Melissodes agilis","STE","July",17
"Melissodes agilis","WES","August",6
"Melissodes agilis","WES","July",8
"Melissodes agilis","WES","June",1
"Melissodes bimaculatus","APP","August",3
"Melissodes bimaculatus","APP","July",2
"Melissodes bimaculatus","CHA","August",3
"Melissodes bimaculatus","CHA","July",6
"Melissodes bimaculatus","COO","July",1
"Melissodes bimaculatus","EDI","July",5
"Melissodes bimaculatus","EDI","June",1
"Melissodes bimaculatus","EIB","August",1
"Melissodes bimaculatus","EIB","July",1
"Melissodes bimaculatus","GABL","July",2
"Melissodes bimaculatus","GABR","August",1
"Melissodes bimaculatus","GABR","July",5
"Melissodes bimaculatus","GRE","July",2
"Melissodes bimaculatus","GW","July",8
"Melissodes bimaculatus","KCA","July",3
"Melissodes bimaculatus","PAL","July",1
"Melissodes bimaculatus","PAR","July",3
"Melissodes bimaculatus","RUB","August",2
"Melissodes bimaculatus","RUB","July",4
"Melissodes bimaculatus","SAB","August",1
"Melissodes bimaculatus","SAM","June",1
"Melissodes bimaculatus","SHO","July",5
"Melissodes bimaculatus","SLA","August",1
"Melissodes bimaculatus","SLA","July",1
"Melissodes bimaculatus","WES","July",1
"Melissodes bimaculatus","WES","June",2
"Melissodes communis","RUB","August",1
"Melissodes coreopsis","SAB","August",1
"Melissodes niveus","CHA","June",1
"Melissodes niveus","GABL","July",2
"Melissodes niveus","GABL","June",2
"Melissodes niveus","GW","June",1
"Melissodes niveus","PAL","August",1
"Melissodes sp1","CHA","August",1
"Melissodes sp2","COO","August",1
"Melissodes sp2","SLA","June",1
"Melissodes tristis","CHA","August",1
"Melissodes tristis","CHA","July",1
"Melitoma grisella","GABR","August",1
"Melitoma grisella","SAM","August",3
"NA spp.","CHA","August",1
"NA spp.","COO","August",1
"NA spp.","EIB","July",3
"NA spp.","GABL","June",1
"NA spp.","GABR","August",1
"NA spp.","JEF","August",1
"NA spp.","JEF","July",3
"NA spp.","KCA","July",1
"NA spp.","MAR","June",1
"NA spp.","PAR","July",1
"NA spp.","RUB","July",1
"NA spp.","SAM","August",1
"NA spp.","SAM","July",2
"NA spp.","STE","June",1
"Osmia inermis","SLA","June",2
"Perdita sp1","EDI","July",1
"Perdita sp2","GABL","August",1
"Perdita sp3","SAM","August",1
"Perdita spp.","GRE","August",1
"Svastra obliqua","APP","August",1
"Xeromelecta interrupta","EDI","July",1
