Site,spec_code,site_code,trap_type,spec_no,spec_notes,class,order,fam,genus,specie,fun_group,month,start_date,end_date,lat,long,elevation_m,county
Applewood Community Garden,APP-V-28,APP,vane,28,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-29,APP,vane,29,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-30,APP,vane,30,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-31,APP,vane,31,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-32,APP,vane,32,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-33,APP,vane,33,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-34,APP,vane,34,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-35,APP,vane,35,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-36,APP,vane,36,Aphids,Insecta,Hemiptera,Aphididae,,,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-37,APP,vane,37,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-38,APP,vane,38,Earwig,Insecta,Dermaptera,Forficulidae,Forficula,auricularia,Omnivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-39,APP,vane,39,Earwig,Insecta,Dermaptera,Forficulidae,Forficula,auricularia,Omnivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-40,APP,vane,40,Earwig,Insecta,Dermaptera,Forficulidae,Forficula,auricularia,Omnivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-41,APP,vane,41,Fly,Insecta,Diptera,Muscidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-42,APP,vane,42,Beetle,Insecta,Coleoptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-43,APP,vane,43,Beetle,Insecta,Coleoptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-44,APP,vane,44,Harvestmen,Arachnida,Opiliones,,,,Predator/Scavenger,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-45,APP,vane,45,Bug,Insecta,Hemiptera,Miridae,Orthops,scutellatus,Herbivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-1,APP,pitfall_2,1,daddy long legs,Arachnida,Opiliones,,,,Predator/Scavenger,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-2,APP,pitfall_2,2,beetle,Insecta,Coleoptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-3,APP,pitfall_2,3,Centipede,Chilopoda,,,,,Predator,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-4,APP,pitfall_2,4,small fly,Insecta,Diptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-5,APP,pitfall_2,5,small spider,Arachnida,Araneae,,,,Predator,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-6,APP,pitfall_2,6,Te,Diplopoda,,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-7,APP,pitfall_2,7,ant,Insecta,Hymenoptera,Formicidae,Tetramorium,immigrans,Omnivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-8,APP,pitfall_2,8,ant,Insecta,Hymenoptera,Formicidae,Tetramorium,immigrans,Omnivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-9,APP,pitfall_2,9,small spider,Arachnida,Araneae,,,,Predator,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-10,APP,pitfall_2,10,small fly,Insecta,Diptera,Muscidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-11,APP,pitfall_2,11,ant,Insecta,Hymenoptera,Formicidae,Tetramorium,immigrans,Omnivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-12,APP,pitfall_2,12,milipede,Diplopoda,,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-13,APP,pitfall_2,13,milipede,Diplopoda,,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-14,APP,pitfall_2,14,milipede,Diplopoda,,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-15,APP,pitfall_2,15,milipede,Diplopoda,,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-16,APP,pitfall_2,16,ant,Insecta,Hymenoptera,Formicidae,Tetramorium,immigrans,Omnivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-17,APP,pitfall_1,17,Centipede,Chilopoda,,,,,Predator,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-18,APP,pitfall_1,18,milipede,Diplopoda,,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-19,APP,pitfall_1,19,milipede,Diplopoda,,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-20,APP,pitfall_1,20,milipede,Diplopoda,,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-21,APP,pitfall_1,21,ant,Insecta,Hymenoptera,Formicidae,,,Omnivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-22,APP,pitfall_1,22,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-23,APP,pitfall_1,23,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-24,APP,pitfall_1,24,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-25,APP,pitfall_1,25,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-26,APP,pitfall_1,26,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-27,APP,pitfall_1,27,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-28,APP,pitfall_1,28,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-29,APP,pitfall_1,29,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-30,APP,pitfall_1,30,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-31,APP,pitfall_1,31,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-32,APP,pitfall_1,32,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-33,APP,pitfall_1,33,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-34,APP,pitfall_1,34,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-P-35,APP,pitfall_1,35,rolly-polly,Malacostraca,Isopoda,Armadillidae,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Charles Hay,CHA-V-70,CHA,vane,70,mosquito,Insecta,Diptera,Culicidae,,,Sanguivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-1,CHA,vane,1,Aphids,Insecta,Hemiptera,Aphididae,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-2,CHA,vane,2,Aphids,Insecta,Hemiptera,Aphididae,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-3,CHA,vane,3,UNK hemi,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-4,CHA,vane,4,Fly,Insecta,Diptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-5,CHA,vane,5,Aphids,Insecta,Hemiptera,Aphididae,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-6,CHA,vane,6,UNK hemi,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-7,CHA,vane,7,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-8,CHA,vane,8,mosquito,Insecta,Diptera,Culicidae,,,Sanguivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-9,CHA,vane,9,mosquito or fly,Insecta,Diptera,,,,Sanguivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-10,CHA,vane,10,UNK hemi,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-11,CHA,vane,11,beetle,Insecta,Coleoptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-12,CHA,vane,12,UNK hemi,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-13,CHA,vane,13,beetle,Insecta,Coleoptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-14,CHA,vane,14,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-15,CHA,vane,15,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-16,CHA,vane,16,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-17,CHA,vane,17,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-18,CHA,vane,18,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-19,CHA,vane,19,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-20,CHA,vane,20,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-21,CHA,vane,21,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-22,CHA,vane,22,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-23,CHA,vane,23,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-24,CHA,vane,24,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-25,CHA,vane,25,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-26,CHA,vane,26,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-27,CHA,vane,27,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-28,CHA,vane,28,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-29,CHA,vane,29,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-30,CHA,vane,30,Thrips,Insecta,Thysanoptera,,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-31,CHA,vane,31,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-32,CHA,vane,32,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-33,CHA,vane,33,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-34,CHA,vane,34,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-35,CHA,vane,35,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-36,CHA,vane,36,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-37,CHA,vane,37,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-38,CHA,vane,38,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-39,CHA,vane,39,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-40,CHA,vane,40,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-41,CHA,vane,41,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-42,CHA,vane,42,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-43,CHA,vane,43,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-44,CHA,vane,44,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-45,CHA,vane,45,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-46,CHA,vane,46,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-47,CHA,vane,47,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-48,CHA,vane,48,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-49,CHA,vane,49,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-50,CHA,vane,50,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-51,CHA,vane,51,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-52,CHA,vane,52,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-53,CHA,vane,53,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-54,CHA,vane,54,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-55,CHA,vane,55,sweatbee,Insecta,Hymenoptera,Halictidae,Agapostemon,,Pollinator,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-56,CHA,vane,56,sweatbee,Insecta,Hymenoptera,Halictidae,Agapostemon,,Pollinator,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-57,CHA,vane,57,sweatbee,Insecta,Hymenoptera,Halictidae,Agapostemon,,Pollinator,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-58,CHA,vane,58,sweatbee,Insecta,Hymenoptera,Halictidae,Agapostemon,virescens,Pollinator,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-59,CHA,vane,59,bee,Insecta,Hymenoptera,,,,Pollinator,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-60,CHA,vane,60,bee,Insecta,Hymenoptera,,,,Pollinator,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-61,CHA,vane,61,bee,Insecta,Hymenoptera,,,,Pollinator,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-62,CHA,vane,62,fly,Insecta,Diptera,Muscidae,Musca,domestica,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-63,CHA,vane,63,unk hemi,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-55,CHA,vane,55,Springtails,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-64,CHA,vane,64,Potato Mirid?,Insecta,Hemiptera,Miridae,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-65,CHA,vane,65,leaf hopper,Insecta,Hemiptera,Cicadellidae,,,Herbivore,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-66,CHA,vane,66,unk hemi,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-67,CHA,vane,67,unk hemi,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
Charles Hay,CHA-V-68,CHA,vane,68,unk hemi,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.65845813,-104.9720575,1635,Arapahoe
