Date_deployed,Date_collected,Site,site_code,Treatment,Predation,Notes
6/17/25,6/20/25,Palmer,PAL,Treated,0,
6/17/25,6/20/25,Steck,STE,Control,0,
6/17/25,6/20/25,Steck,STE,Treated,0.22,
6/17/25,6/20/25,GW School,GW,Control,0,
6/17/25,6/20/25,GW School,GW,Treated,0,
6/17/25,6/20/25,Samuels,SAM,Control,0,
6/17/25,6/20/25,Samuels,SAM,Treated,0.77,
6/17/25,6/20/25,Greenway,GRE,Control,0,
6/17/25,6/20/25,Greenway,GRE,Treated,0.66,
7/22/25,7/25/25,Greenway,GRE,Control,0,
7/22/25,7/25/25,Greenway,GRE,Treated,1,
7/22/25,7/25/25,Gabriel Cam,GABR,Control,0,
7/22/25,7/25/25,Gabriel Cam,GABR,Treated,0.77,
7/22/25,7/25/25,Steck,STE,Control,0,
7/22/25,7/25/25,Steck,STE,Treated,0.44,
7/22/25,7/25/25,GW School,GW,Control,0,
7/22/25,7/25/25,GW School,GW,Treated,0.77,
7/22/25,7/25/25,Charles Hay,CHA,Control,0,
7/22/25,7/25/25,Charles Hay,CHA,Treated,0.88,
7/22/25,7/25/25,Samuels,SAM,Control,0,
7/22/25,7/25/25,Samuels,SAM,Treated,1,
7/22/25,7/25/25,Market Station,MAR,Control,0,
7/22/25,7/25/25,Market Station,MAR,Treated,0.88,
7/22/25,7/25/25,Palmer,PAL,Control,0,
7/22/25,7/25/25,Palmer,PAL,Treated,0.88,
7/22/25,7/25/25,Park Hill,PAR,Control,0,
7/22/25,7/25/25,Park Hill,PAR,Treated,1,
7/22/25,7/25/25,Ruby Hill,RUB,Control,0.11,Fail
7/22/25,7/25/25,Ruby Hill,RUB,Treated,0.22,
7/22/25,7/25/25,Cook Park,COO,Control,0,
7/22/25,7/25/25,Cook park,COO,Treated,1,
7/22/25,7/25/25,Edison,EDI,Control,0.33,Fail
7/22/25,7/25/25,Edison,EDI,Treated,1,
7/22/25,7/25/25,Shoshone,SHO,Control,0,
7/22/25,7/25/25,Shoshone,SHO,Treated,0.33,
7/22/25,7/25/25,Slater,SLA,Control,0,
7/22/25,7/25/25,Slater,SLA,Treated,0,
7/22/25,7/25/25,Eiber,EIB,Control,0,
7/22/25,7/25/25,Eiber,EIB,Treated,0.77,
7/22/25,7/25/25,Applewood,APP,Control,0,
7/22/25,7/25/25,Applewood,APP,Treated,0.88,
7/22/25,7/25/25,Sabin,SAB,Control,0,
7/22/25,7/25/25,Sabin,SAB,Treated,1,
7/22/25,7/25/25,Jefferson,JEF,Control,0.44,Fail
7/22/25,7/25/25,Jefferson,JEF,Treated,1,
7/22/25,7/25/25,West Colfax,WES,Control,0,
7/22/25,7/25/25,West Colfax,WES,Treated,0,
7/22/25,7/25/25,Gables,GABL,Control,0,
7/22/25,7/25/25,Gables,GABL,Treated,0.55,
7/22/25,7/25/25,KCAA,KCA,Control,0,
7/22/25,7/25/25,KCAA,KCA,Treated,0.88,
7/29/25,8/1/25,Applewood,APP,Control,1,earwigs
7/29/25,8/1/25,Applewood,APP,Treated,1,
7/29/25,8/1/25,Edison,EDI,Control,1,
7/29/25,8/1/25,Edison,EDI,Treated,0.44,
7/29/25,8/1/25,KCAA,KCA,Control,0,
7/29/25,8/1/25,KCAA,KCA,Treated,0.88,
7/29/25,8/1/25,West Colfax,WES,Control,0,
7/29/25,8/1/25,West Colfax,WES,Treated,0,
7/29/25,8/1/25,Sabin,SAB,Control,0,
7/29/25,8/1/25,Sabin,SAB,Treated,1,
7/29/25,8/1/25,Jefferson,JEF,Control,0.55,
7/29/25,8/1/25,Jefferson,JEF,Treated,0.77,
7/29/25,8/1/25,Shoshone,SHO,Control,0,
7/29/25,8/1/25,Shoshone,SHO,Treated,1,
7/29/25,8/1/25,Slater,SLA,Control,1,
7/29/25,8/1/25,Slater,SLA,Treated,0,
7/29/25,8/1/25,Gables,GABL,Control,0.77,ants
7/29/25,8/1/25,Gables,GABL,Treated,0.33,
7/29/25,8/1/25,Eiber,EIB,Control,0,
7/29/25,8/1/25,Eiber,EIB,Treated,1,
7/29/25,8/1/25,Greenway,GRE,Control,0,
7/29/25,8/1/25,Greenway,GRE,Treated,1,
7/29/25,8/1/25,Gabriel Cam,GABR,Control,0.55,
7/29/25,8/1/25,Gabriel Cam,GABR,Treated,0.77,
7/29/25,8/1/25,GW School,GW,Control,0,
7/29/25,8/1/25,GW School,GW,Treated,0.22,
7/29/25,8/1/25,Cook Park,COO,Control,0,
7/29/25,8/1/25,Cook Park,COO,Treated,0.33,
7/29/25,8/1/25,Samuels,SAM,Control,0,
7/29/25,8/1/25,Samuels,SAM,Treated,0.33,
7/29/25,8/1/25,Charles Hay,CHA,Control,0,
7/29/25,8/1/25,Charles Hay,CHA,Treated,0.11,
7/29/25,8/1/25,Ruby Hill,RUB,Control,0,
7/29/25,8/1/25,Ruby Hill,RUB,Treated,0.11,
7/29/25,8/1/25,Palmer,PAL,Control,0,
7/29/25,8/1/25,Palmer,PAL,Treated,0.44,
7/29/25,8/1/25,Park Hill,PAR,Control,1,
7/29/25,8/1/25,Park Hill,PAR,Treated,0.11,
7/29/25,8/1/25,Steck,STE,Control,0,
7/29/25,8/1/25,Steck,STE,Treated,0.11,
7/29/25,8/1/25,Market Station,MAR,Control,0,
7/29/25,8/1/25,Market Station,MAR,Treated,0.33,
8/11/25,8/14/25,Cook Park,COO,Control,0,
8/11/25,8/14/25,Cook Park,COO,Treated,0.88,
8/11/25,8/14/25,Market Station,MAR,Control,0,
8/11/25,8/14/25,Market Station,MAR,Treated,0,
8/11/25,8/14/25,Greenway,GRE,Control,0,
8/11/25,8/14/25,Greenway,GRE,Treated,0.33,
8/11/25,8/14/25,Charles Hay,CHA,Control,0,
8/11/25,8/14/25,Charles Hay,CHA,Treated,0.11,
8/11/25,8/14/25,Steck,STE,Control,0,
8/11/25,8/14/25,Steck,STE,Treated,0.11,
8/11/25,8/14/25,Ruby Hill,RUB,Control,0,
8/11/25,8/14/25,Ruby Hill,RUB,Treated,0.44,
8/11/25,8/14/25,GW School,GW,Control,0,
8/11/25,8/14/25,GW School,GW,Treated,0.33,
8/11/25,8/14/25,Samuels,SAM,Control,0,
8/11/25,8/14/25,Samuels,SAM,Treated,0.11,
8/11/25,8/14/25,Park Hill,PAR,Control,1,Ants
8/11/25,8/14/25,Park Hill,PAR,Treated,0.77,
8/11/25,8/14/25,Palmer,PAL,Control,0,
8/11/25,8/14/25,Palmer,PAL,Treated,0,
8/11/25,8/14/25,Gabriel Cam,GABR,Control,0.22,Ants
8/11/25,8/14/25,Gabriel Cam,GABR,Treated,0.44,
8/11/25,8/14/25,KCAA,KCA,Control,0,
8/11/25,8/14/25,KCAA,KCA,Treated,0.33,
8/11/25,8/14/25,Shoshone,SHO,Control,0,
8/11/25,8/14/25,Shoshone,SHO,Treated,0.66,
8/11/25,8/14/25,Sabin,SAB,Control,0,
8/11/25,8/14/25,Sabin,SAB,Treated,1,
8/11/25,8/14/25,West Colfax,WES,Control,0,
8/11/25,8/14/25,West Colfax,WES,Treated,0,
8/11/25,8/14/25,Gables,GABL,Control,0,
8/11/25,8/14/25,Gables,GABL,Treated,0.88,
8/11/25,8/14/25,Slater,SLA,Control,0,
8/11/25,8/14/25,Slater,SLA,Treated,1,
8/11/25,8/14/25,Eiber,EIB,Control,0,
8/11/25,8/14/25,Eiber,EIB,Treated,0.11,
8/11/25,8/14/25,Jefferson,JEF,Control,0,
8/11/25,8/14/25,Jefferson,JEF,Treated,1,
8/11/25,8/14/25,Edison,EDI,Control,1,
8/11/25,8/14/25,Edison,EDI,Treated,1,
8/11/25,8/14/25,Applewood,APP,Control,0.22,
8/11/25,8/14/25,Applewood,APP,Treated,1,
